thresh_value;img0.jpg_s_count;img0.jpg_v_count;img1.jpg_s_count;img1.jpg_v_count;img2.jpg_s_count;img2.jpg_v_count;img3.jpg_s_count;img3.jpg_v_count;img5.jpg_s_count;img5.jpg_v_count;img6.jpg_s_count;img6.jpg_v_count;img7.jpg_s_count;img7.jpg_v_count;img8.jpg_s_count;img8.jpg_v_count;img9.jpg_s_count;img9.jpg_v_count;img10.jpg_s_count;img10.jpg_v_count;img11.jpg_s_count;img11.jpg_v_count;img12.jpg_s_count;img12.jpg_v_count;img13.jpg_s_count;img13.jpg_v_count;img4.jpg_s_count;img4.jpg_v_count
108;0;20;17;17;2;28;75;18;16;24;7;11;6;1;7;1;11;250;3;34;14;27;19;41;104;13;5;1
109;0;20;17;17;1;27;88;18;16;25;7;13;6;1;7;1;11;257;3;31;14;27;17;40;91;13;5;1
110;0;21;17;17;1;31;75;18;16;25;7;11;6;1;7;1;11;259;3;32;14;27;16;43;90;12;5;1
111;0;20;17;17;1;31;62;18;16;24;7;12;6;1;7;1;11;253;3;32;14;26;15;47;82;11;5;1
112;0;19;16;17;1;29;41;18;15;24;7;8;6;1;7;1;11;263;3;28;15;26;15;50;76;11;5;1
113;0;19;15;17;1;33;40;18;15;24;7;7;6;1;6;1;11;263;3;26;15;26;13;51;65;8;5;1
114;0;19;15;17;1;34;34;18;15;23;8;9;6;1;6;1;11;251;3;23;13;26;13;55;62;7;5;1
115;0;19;15;17;1;31;31;18;15;23;8;7;6;1;6;1;11;251;3;23;12;26;13;56;57;7;5;1
116;0;19;15;17;1;39;25;18;15;23;8;6;6;1;6;1;11;248;3;22;12;26;12;65;55;8;5;1
117;0;20;15;17;1;39;25;18;15;23;7;8;6;1;6;1;11;245;3;19;12;27;11;63;50;7;5;1
118;0;20;15;17;1;44;22;17;15;23;7;6;6;1;6;1;11;235;3;17;12;28;11;71;49;6;5;1
119;0;20;15;17;1;48;23;17;15;23;7;5;6;1;6;1;11;234;2;15;12;27;11;66;45;6;5;1
